audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_107,0.89,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_108,0.07,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at 80khz and 100kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_109,0.13,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_111,0.94,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_112,0.7,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_115,0.44,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_116,0.65,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_117,0.54,0.864,R,50,0.743,0.765,28.53,0.731,0.739,,
matching_annotaudio_Aditya_2018-08-16_2324_120,0.62,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_121,0.04,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_122,0.49,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_123,0.07,NA,R,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. However HSB calls at 100 kHz and faintly at 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_124,0.82,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_125,0.91,NA,R,NA,NA,NA,NA,NA,NA,"Majority are HSB calls, FM calls towards the end. A single bat situat",
matching_annotaudio_Aditya_2018-08-16_2324_126,0.75,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_128,0.78,0.9048,R,70,0.714,0.751,25.27,0.696,0.713,,
