audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_45_228,0.92,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_229,0.36,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation -prominent myotis and HSB calls
matching_annotaudio_Aditya_2018-08-17_45_230,0.87,NA,R,NA,NA,NA,NA,NA,NA,"There is only one bat flying. However in addition to HSB calls,there are very prominent FM calls towards the end. This should be that of the bat coming into the view after a few frame"
matching_annotaudio_Aditya_2018-08-17_45_231,0.5,0.28,L,40,0.105,0.122,20.36,0.336,0.341,The Fm part is very faint. Looks as if there is a point with interference in the FM part
matching_annotaudio_Aditya_2018-08-17_45_232,0.11,NA,L,NA,NA,NA,NA,NA,NA,There is only bat flying. However  prominent myotis+ HSB calls
matching_annotaudio_Aditya_2018-08-17_45_233,0.98,3.2928,R,NA,NA,NA,NA,NA,NA,There is only bat flying. However  prominent myotis+ HSB calls
matching_annotaudio_Aditya_2018-08-17_45_234,0.47,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_235,0.82,NA,L,NA,NA,NA,NA,NA,NA,There is only bat flying. However  prominent myotis+ HSB calls
matching_annotaudio_Aditya_2018-08-17_45_237,0.23,0.23,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_244,0.29,0.638,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_252,0.71,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_253,0.09,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis +HSB calls
matching_annotaudio_Aditya_2018-08-17_45_254,0.35,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_255,0.37,NA,R,NA,NA,NA,NA,NA,NA,There is only one bat in the video. However myotis calls + overlapping HSB calls
matching_annotaudio_Aditya_2018-08-17_45_256,0.95,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_257,0.35,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_259,0.28,NA,R,NA,NA,NA,NA,NA,NA,There are both HSB and FM calls. A two bat situation succeeds this.
matching_annotaudio_Aditya_2018-08-17_45_262,0.19,0.2812,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_263,0.52,NA,L,NA,NA,NA,NA,NA,NA,Prominent myotis +HSB calls
matching_annotaudio_Aditya_2018-08-17_45_264,0.01,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis +HSB calls
matching_annotaudio_Aditya_2018-08-17_45_265,0.25,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation - myotis and HSB
matching_annotaudio_Aditya_2018-08-17_45_266,0.37,NA,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_267,0.29,0.3712,R,60,1.151,1.17,27.42,1.139,1.144,
matching_annotaudio_Aditya_2018-08-17_45_269,0.56,0.2688,L,70,0.257,0.283,32.04,0.341,0.346,
matching_annotaudio_Aditya_2018-08-17_45_270,0.59,0.6844,R,70,0.984,1.001,25.84,1.106,1.113,
matching_annotaudio_Aditya_2018-08-17_45_271,0.04,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_45_272,0.97,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls. 2 bat situation
matching_annotaudio_Aditya_2018-08-17_45_275,0.66,NA,R,NA,NA,NA,NA,NA,NA,"In addition to HSB calls, there are prominent myotis calls. A 2 bat situation succeeds this."
matching_annotaudio_Aditya_2018-08-17_45_276,0.98,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_279,0.91,NA,L,NA,NA,NA,NA,NA,NA,No clear calls.
matching_annotaudio_Aditya_2018-08-17_45_282,0.8,NA,R,NA,NA,NA,NA,NA,NA,Prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_45_284,0.79,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation - one of them is a myotis bat
matching_annotaudio_Aditya_2018-08-17_45_285,0.43,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation - myotis + HSB calls. Seems as if one of them is a myotis bat
