,audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,Unnamed: 11,Unnamed: 1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,fm2_start_time,fm2_end_time,fm2_dbrms
92,matching_annotaudio_Aditya_2018-08-16_2324_214,0.87,1.4616,L,50.0,0.057,0.094,32.74,0.10400000000000001,0.114,,,,,,,,,,,,,
93,matching_annotaudio_Aditya_2018-08-16_2324_215,0.28,0.44799999999999995,L,50.0,0.017,0.054000000000000006,32.8,0.077,0.09,,,,,,,,,,,,,
95,matching_annotaudio_Aditya_2018-08-16_2324_218,0.04,0.0256,L,40.0,0.584,0.605,32.54,0.262,0.27,,,,,,,,,,,,,
96,matching_annotaudio_Aditya_2018-08-16_2324_219,0.04,0.0288,R,45.0,0.40399999999999997,0.433,33.31,0.49,0.493,,,,,,,,,,,,,
97,matching_annotaudio_Aditya_2018-08-16_2324_223,0.77,0.7392,R,55.0,0.302,0.326,41.82,0.5710000000000001,0.575,,,,,,,,,,,,,
99,matching_annotaudio_Aditya_2018-08-16_2324_230,0.37,0.5920000000000001,R,50.0,1.245,1.291,28.02,1.489,1.501,,,,,,,,,,,,,
101,matching_annotaudio_Aditya_2018-08-16_2324_234,0.29,0.2668,R,50.0,0.561,0.607,27.97,0.621,0.634,,,,,,,,,,,,,
102,matching_annotaudio_Aditya_2018-08-16_2324_236,0.71,0.8804,R,70.0,0.852,0.877,34.37,0.924,0.937,,,,,,,,,,,,,
103,matching_annotaudio_Aditya_2018-08-16_2324_248,0.97,1.2804,L,45.0,0.889,0.914,32.15,0.879,0.8859999999999999,,,,,,,,,,,,,
106,matching_annotaudio_Aditya_2018-08-16_2324_253,0.77,0.16016,R,70.0,0.002,0.027000000000000003,25.26,0.226,0.233,,,,,,,,,,,,,
107,matching_annotaudio_Aditya_2018-08-16_2324_254,0.51,0.306,R,70.0,0.013999999999999999,0.037000000000000005,24.75,0.16399999999999998,0.168,,,,,,,,,,,,,
108,matching_annotaudio_Aditya_2018-08-16_2324_255,0.74,0.6216,R,50.0,0.413,0.431,33.89,0.272,0.276,,,,,,,,,,,,,
109,matching_annotaudio_Aditya_2018-08-16_2324_256,0.57,0.2508,R,55.0,0.215,0.237,39.1,0.203,0.21100000000000002,,,,,,,,,,,,,
111,matching_annotaudio_Aditya_2018-08-16_2324_258,0.48,0.2112,R,45.0,0.415,0.43700000000000006,40.79,0.371,0.38,Not a very clear call. There is a strong echo of another call. Not sure.,,,,,,,,,,,,
113,matching_annotaudio_Aditya_2018-08-16_2324_260,0.34,0.2584,L,45.0,0.27399999999999997,0.327,34.25,0.348,0.359,,,,,,,,,,,,,
114,matching_annotaudio_Aditya_2018-08-16_2324_277,0.96,0.96,R,60.0,0.302,0.318,41.63,0.28800000000000003,0.292,,,,,,,,,,,,,
115,matching_annotaudio_Aditya_2018-08-16_2324_280,0.41,0.16399999999999998,R,50.0,0.14,0.17,28.85,0.187,0.2,,,,,,,,,,,,,
116,matching_annotaudio_Aditya_2018-08-16_2324_285,0.77,2.3716,L,50.0,2.559,2.5780000000000003,23.06,2.551,2.556,,,,,,,,,,,,,
118,matching_annotaudio_Aditya_2018-08-16_2324_287,0.61,0.244,L,50.0,0.198,0.225,36.33,0.18899999999999997,0.193,,,,,,,,,,,,,
119,matching_annotaudio_Aditya_2018-08-16_2324_288,0.7,7.476,R,45.0,7.8660000000000005,7.882999999999999,21.4,7.851,7.86,,,,,,,,,,,,,
