,start,stop,duration,peak_amplitude,peak_frequency,peak_freq_resolution,rms,terminal_frequency,terminal_frequency_threshold,region_id,audio_file,num_bats,video_annot_id
1,0.002952,0.025668,0.022716,0.050445556640625,107765.45166402536,88.02816901408451,0.025379178867549715,107501.32065504491,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_110,1,Aditya_2018-08-19_0120-0200_110
2,0.025668,0.029504,0.003836,0.032379150390625,93065.69343065695,520.8333333333334,0.014244556918358048,92022.94056308655,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_110,1,Aditya_2018-08-19_0120-0200_110
0,0.00084,0.003124,0.002284,0.044158935546875,91943.95796847636,874.1258741258741,0.024348103900958276,90192.64448336253,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_112,1,Aditya_2018-08-19_0120-0200_112
1,0.003124,0.024292,0.021168,0.069244384765625,105583.90022675738,94.44654325651682,0.037221233637551476,105394.93575207861,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_112,1,Aditya_2018-08-19_0120-0200_112
2,0.024292,0.026168,0.001876,0.031829833984375,103411.51385927506,1063.8297872340424,0.017094507025624987,90085.28784648188,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_112,1,Aditya_2018-08-19_0120-0200_112
0,0.001248,0.014704,0.013456,0.071014404296875,105752.08085612366,148.54426619132502,0.03288384619199901,105603.44827586207,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59,3,Aditya_2018-08-19_0120-0200_59
1,0.014704,0.01814,0.003436,0.053253173828125,89348.07916181607,581.3953488372093,0.022982949468437076,88474.97089639117,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-19_0120-0200_59,3,Aditya_2018-08-19_0120-0200_59
0,7.6e-05,0.01262,0.012544,0.037445068359375,105309.31122448981,159.33715742511154,0.0166345634813382,105149.8724489796,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_18,2,Aditya_2018-08-20_0200-0300_18
1,0.01262,0.01476,0.00214,0.036529541015625,93925.2336448598,932.8358208955224,0.013115831394809076,90186.91588785047,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_18,2,Aditya_2018-08-20_0200-0300_18
0,0.000124,0.000924,0.0008,0.014312744140625,106250.0,2475.2475247524753,0.005638271014952332,103750.0,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_43,2,Aditya_2018-08-20_0200-0300_43
1,0.000924,0.016604,0.01568,0.035858154296875,107653.0612244898,127.48597654258032,0.014276869012037017,107525.51020408164,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_43,2,Aditya_2018-08-20_0200-0300_43
2,0.016604,0.019976,0.003372,0.020599365234375,90154.21115065242,592.4170616113744,0.008120952209660732,88967.97153024911,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-20_0200-0300_43,2,Aditya_2018-08-20_0200-0300_43
0,0.000356,0.002352,0.001996,0.017059326171875,102705.4108216433,1000.0,0.007773694168713563,92685.37074148297,-10,fm1,segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_56,1,Aditya_2018-08-20_0300-0400_56
1,0.002352,0.046992,0.04464,0.034637451171875,103673.83512544804,44.79483963447411,0.01271139721451164,103427.41935483871,-10,cf1,segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_56,1,Aditya_2018-08-20_0300-0400_56
2,0.046992,0.05024,0.003248,0.018157958984375,90825.12315270936,614.2506142506143,0.007031904583169315,45258.620689655174,-10,fm2,segment_matching_annotaudio_Aditya_2018-08-20_0300-0400_56,1,Aditya_2018-08-20_0300-0400_56
