,ifm_terminal_frequency,ifm_rms,ifm_region_id,ifm_peak_amplitude,ifm_peak_freq_resolution,ifm_peak_frequency,ifm_start,ifm_duration,ifm_stop,cf_terminal_frequency,cf_rms,cf_region_id,cf_peak_amplitude,cf_peak_freq_resolution,cf_peak_frequency,cf_start,cf_duration,cf_stop,tfm_terminal_frequency,tfm_rms,tfm_region_id,tfm_peak_amplitude,tfm_peak_freq_resolution,tfm_peak_frequency,tfm_start,tfm_duration,tfm_stop,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,terminal_frequency
34,98684.2105263158,0.011200041885140904,fm1,0.030853271484375,1190.4761904761906,102870.8133971292,0.000248,0.0016719999999999999,0.0019199999999999998,105269.8899974418,0.03500325815755362,cf1,0.070159912109375,127.8772378516624,105333.84497313893,0.0019199999999999998,0.015636,0.017556,99030.47091412742,0.015490611876090675,fm2,0.045013427734375,1381.21546961326,103185.59556786703,0.017556,0.001444,0.019,segment_matching_annotaudio_Aditya_2018-08-16_2324_143,-10,Aditya_2018-08-16_2324_143,1,,,,
35,100000.0,0.007466754541265226,fm1,0.021331787109375,1748.2517482517483,101754.38596491226,0.0,0.00114,0.00114,103178.67213534992,0.04410321218423912,cf1,0.089141845703125,128.13941568426452,103306.84439887207,0.00114,0.015604,0.016744,90868.79432624113,0.0131680269174659,fm2,0.030975341796875,883.3922261484099,102393.61702127662,0.016744,0.0022559999999999998,0.019,segment_matching_annotaudio_Aditya_2018-08-16_2324_15,-10,Aditya_2018-08-16_2324_15,1,,,,
36,91971.54471544716,0.013132083441528941,fm1,0.039581298828125,1012.1457489878543,94004.06504065038,0.000452,0.001968,0.00242,107325.81967213117,0.06276882164593213,cf1,0.149139404296875,102.41704219582138,107428.2786885246,0.00242,0.01952,0.02194,88562.09150326796,0.02044921696708837,fm2,0.054779052734375,652.7415143603133,105555.55555555556,0.02194,0.0030600000000000002,0.025,segment_matching_annotaudio_Aditya_2018-08-16_2324_156,-10,Aditya_2018-08-16_2324_156,1,,,,
37,89610.38961038961,0.0251083682050791,fm1,0.067901611328125,647.6683937823833,94155.84415584416,0.0,0.0030800000000000003,0.0030800000000000003,107580.82497212931,0.04887611522286052,cf1,0.089630126953125,111.45786892554614,107692.3076923077,0.0030800000000000003,0.01794,0.02102,85349.46236559139,0.028288193793108745,fm2,0.095428466796875,670.2412868632707,105510.75268817207,0.02102,0.0029760000000000003,0.023996,segment_matching_annotaudio_Aditya_2018-08-16_2324_159,-10,Aditya_2018-08-16_2324_159,1,,,,
38,95352.5641025641,0.0033814784473766195,fm1,0.009796142578125,1592.3566878980894,104967.94871794873,0.0,0.001248,0.001248,105751.01488497971,0.01280156454697228,cf1,0.026702880859375,135.2813852813853,105953.99188092016,0.001248,0.014780000000000001,0.016028,89756.59229208926,0.014093254009311376,fm2,0.042144775390625,1012.1457489878543,105983.77281947262,0.016028,0.001972,0.018000000000000002,segment_matching_annotaudio_Aditya_2018-08-16_2324_165,-10,Aditya_2018-08-16_2324_165,1,,,,
39,92541.4364640884,0.09189692805497876,fm1,0.204437255859375,919.1176470588236,100368.3241252302,0.0,0.002172,0.002172,105828.69511440939,0.2859343175955724,cf1,0.537689208984375,77.27975270479135,105983.30241187382,0.002172,0.025872000000000003,0.028044,89986.46820027064,0.07750899144957565,fm2,0.160797119140625,675.6756756756756,105886.33288227336,0.028044,0.002956,0.031,segment_matching_annotaudio_Aditya_2018-08-16_2324_167,-10,Aditya_2018-08-16_2324_167,1,,,,
40,,,,,,,,,,103660.14799154332,0.015082639352236868,cf1,0.030670166015625,132.06550449022714,103792.28329809725,0.005816,0.015136000000000002,0.020952000000000002,88519.31330472103,0.011554986710794444,fm1,0.025848388671875,1068.3760683760684,102467.81115879829,0.020952000000000002,0.001864,0.022816,segment_matching_annotaudio_Aditya_2018-08-16_2324_171,-10,Aditya_2018-08-16_2324_171,1,,,,
41,100000.0,0.0075041973766465965,fm1,0.015777587890625,11904.761904761905,81250.00000000001,0.001968,0.00016,0.002128,106143.93463230671,0.033586585428735216,cf1,0.071807861328125,157.03517587939697,106301.06851037084,0.002128,0.012728,0.014856,90485.07462686568,0.027947906561532964,fm2,0.064971923828125,929.3680297397771,105410.44776119402,0.014856,0.002144,0.017,segment_matching_annotaudio_Aditya_2018-08-16_2324_179,-10,Aditya_2018-08-16_2324_179,1,,,,
42,99358.97435897436,0.0051181400739274035,fm1,0.012176513671875,6250.0,105769.23076923077,0.0,0.000312,0.000312,106121.81479179618,0.06731220751413698,cf1,0.140167236328125,155.2795031055901,106354.87880671225,0.000312,0.012872,0.013184,89207.04845814979,0.023286116916510197,fm2,0.055633544921875,1096.4912280701753,93612.33480176213,0.013184,0.001816,0.015,segment_matching_annotaudio_Aditya_2018-08-16_2324_180,-10,Aditya_2018-08-16_2324_180,1,,,,
43,95549.7382198953,0.005961524274786788,fm1,0.014312744140625,1302.0833333333333,102094.24083769637,0.0,0.0015279999999999998,0.0015279999999999998,104835.23583889726,0.014138252026935472,cf1,0.033782958984375,107.66580534022394,104942.92483308207,0.0015279999999999998,0.018571999999999998,0.0201,93881.8565400844,0.005670734387825067,fm2,0.016876220703125,1050.420168067227,103902.9535864979,0.0201,0.0018960000000000001,0.021996,segment_matching_annotaudio_Aditya_2018-08-16_2324_182,-10,Aditya_2018-08-16_2324_182,2,,,,
